utterance	output
来一首白居易的诗了。	[IN:QUERY 来一首[SL:AUTHOR 白居易]的诗了。]
中国教育电视台三台	[IN:PLAY [SL:NAME 中国教育电视台三台]]
来一首歌尔勤县	[IN:PLAY 来一首歌尔勤县]
尽在不言中下一句是什么？	[IN:QUERY [SL:KEYWORD 尽在不言中][SL:QUERYFIELD 下一句]是什么？]
中国霸王花	[IN:QUERY [SL:NAME 中国霸王花]]
打开索尼官方网站	[IN:OPEN 打开[SL:NAME 索尼]官方网站]
搜索逃学威龙第二部	[IN:QUERY 搜索[SL:NAME 逃学威龙][SL:SEASON 第二部]]
帮我找到去安徽黄山的路	[IN:ROUTE 帮我找到去[SL:ENDLOC_PROVINCE 安徽][SL:ENDLOC_POI 黄山]的路]
明天珠海到青岛的航班	[IN:QUERY [SL:STARTDATE_DATE 明天][SL:STARTLOC_CITY 珠海]到[SL:ENDLOC_CITY 青岛]的航班]
让我猜个谜语。	[IN:QUERY 让我猜个[SL:CATEGORY 谜语]。]
美国恐怖电影	[IN:QUERY [SL:AREA 美国][SL:TAG 恐怖][SL:CATEGORY 电影]]
温州到上海的车。	[IN:QUERY [SL:SRC 温州]到[SL:DEST 上海]的车。]
我现在要发一条信息	[IN:SEND 我现在要发一条信息]
查一下济南到成都的航班	[IN:QUERY 查一下[SL:STARTLOC_CITY 济南]到[SL:ENDLOC_CITY 成都]的航班]
干豆角怎么烧？	[IN:QUERY [SL:INGREDIENT 干豆角]怎么烧？]
附近有没有电影院啊？	[IN:QUERY 附近有没有电影院啊？]
我想知道今天的娱乐新闻。	[IN:PLAY 我想知道[SL:DATETIME_DATE 今天]的[SL:CATEGORY 娱乐]新闻。]
查一下苏州到洛阳的火车票	[IN:QUERY 查一下[SL:STARTLOC_CITY 苏州]到[SL:ENDLOC_CITY 洛阳]的火车票]
香蕉用英语怎么讲	[IN:TRANSLATION [SL:CONTENT 香蕉]用[SL:TARGET 英语]怎么讲]
冯沙排骨怎么做？	[IN:QUERY 冯沙[SL:INGREDIENT 排骨]怎么做？]
查询一下南方航空的股票	[IN:QUERY 查询一下[SL:NAME 南方航空]的股票]
虾炒蛋怎么做？	[IN:QUERY [SL:DISHNAME 虾炒蛋]怎么做？]
刘诗诗主演过的电影	[IN:QUERY [SL:ARTIST 刘诗诗][SL:ARTISTROLE 主演]过的[SL:CATEGORY 电影]]
小孩子有肺炎的治疗方法有哪些？	[IN:QUERY 小孩子有[SL:KEYWORD 肺炎]的治疗方法有哪些？]
麻辣烫做法。	[IN:QUERY [SL:DISHNAME 麻辣烫]做法。]
新蛋网	[IN:OPEN [SL:NAME 新蛋网]]
就拉下的饺子怎么做？	[IN:QUERY 就拉下的[SL:DISHNAME 饺子]怎么做？]
帮我搜索一下红烧排骨。	[IN:QUERY 帮我搜索一下[SL:DISHNAME 红烧排骨]。]
肾积水怎么治？	[IN:QUERY [SL:KEYWORD 肾积水]怎么治？]
买东西翻译成英语	[IN:TRANSLATION [SL:CONTENT 买东西]翻译成[SL:TARGET 英语]]
查看短消息	[IN:VIEW 查看短消息]
找下最近最热播的电影。	[IN:QUERY 找下最近最热播的电影。]
给许浩发一条短信	[IN:SEND 给[SL:NAME 许浩]发一条短信]
乳腺炎。	[IN:QUERY [SL:KEYWORD 乳腺炎]。]
糖尿病注意什么？	[IN:QUERY [SL:KEYWORD 糖尿病]注意什么？]
陈奕迅有什么歌啊	[IN:SEARCH [SL:ARTIST 陈奕迅]有什么歌啊]
今天新余到北京的航班	[IN:QUERY [SL:STARTDATE_DATE 今天][SL:STARTLOC_CITY 新余]到[SL:ENDLOC_CITY 北京]的航班]
那做红烧鱼需要哪些材料啊？	[IN:QUERY 那做[SL:DISHNAME 红烧鱼]需要哪些材料啊？]
扬州炒饭	[IN:QUERY [SL:DISHNAME 扬州炒饭]]
咳嗽怎么治？	[IN:QUERY [SL:KEYWORD 咳嗽]怎么治？]
背一首声声慢。	[IN:QUERY 背一首[SL:NAME 声声慢]。]
红烧鱼怎么烧啊？	[IN:QUERY [SL:DISHNAME 红烧鱼]怎么烧啊？]
帮我查一下从济南到福州的机票	[IN:QUERY 帮我查一下从[SL:STARTLOC_CITY 济南]到[SL:ENDLOC_CITY 福州]的机票]
北京国安的赛程。	[IN:QUERY [SL:NAME 北京国安]的赛程。]
收听中国人民广播电台广播	[IN:LAUNCH 收听[SL:NAME 中国人民广播电台广播]]
送黄炒鸡蛋怎么做？	[IN:QUERY 送黄[SL:DISHNAME 炒鸡蛋]怎么做？]
福建电视台	[IN:PLAY [SL:NAME 福建电视台]]
葱爆羊肉的做法。	[IN:QUERY [SL:DISHNAME 葱爆羊肉]的做法。]
等一下七点半湖南卫视会播出什么节目	[IN:QUERY 等一下[SL:DATETIME_TIME 七点半][SL:TVCHANNEL 湖南卫视]会播出什么节目]
来个最新新闻。	[IN:PLAY 来个[SL:KEYWORD 最新]新闻。]
现在有什么好看的电视剧吗？	[IN:QUERY [SL:DATETIME_TIME 现在]有什么好看的[SL:CATEGORY 电视剧]吗？]
给我查一下什么时间有播放天天向上	[IN:QUERY 给我查一下什么时间有播放[SL:NAME 天天向上]]
查询泉州到上海的动车票	[IN:QUERY 查询[SL:STARTLOC_CITY 泉州]到[SL:ENDLOC_CITY 上海]的[SL:CATEGORY 动车]票]
明天到合肥的火车	[IN:QUERY [SL:STARTDATE_DATE 明天]到[SL:ENDLOC_CITY 合肥]的火车]
请问意大利面怎么做	[IN:QUERY 请问[SL:DISHNAME 意大利面]怎么做]
查询福建电影院的热映电影	[IN:QUERY 查询[SL:THEATRE 福建电影院]的热映电影]
烤肉串。	[IN:QUERY [SL:DISHNAME 烤肉串]。]
打开苹果香港官方网站	[IN:OPEN 打开[SL:NAME 苹果香港官方网站]]
西红柿炒蛋怎么煮？	[IN:QUERY [SL:DISHNAME 西红柿炒蛋]怎么煮？]
打电话到飞云	[IN:DIAL 打电话到[SL:NAME 飞云]]
最近有什么好看的电视连续剧武打的。	[IN:QUERY [SL:TIMEDESCR 最近]有什么[SL:SCOREDESCR 好看]的[SL:CATEGORY 电视连续剧][SL:TAG 武打]的。]
给我随便来几首歌	[IN:PLAY 给我随便来几首歌]
请问红烧肉的做法？你，你。	[IN:QUERY 请问[SL:DISHNAME 红烧肉]的做法？你，你。]
打开搜狐新闻	[IN:LAUNCH 打开[SL:NAME 搜狐新闻]]
给金华打电话	[IN:DIAL 给[SL:NAME 金华]打电话]
搜搜一首毛泽东的诗。	[IN:QUERY 搜搜一首[SL:AUTHOR 毛泽东]的诗。]
打电话给陈雷	[IN:DIAL 打电话给[SL:NAME 陈雷]]
体育赛事直播	[IN:PLAY [SL:NAME 体育赛事]直播]
我要听还是会这首歌	[IN:PLAY 我要听[SL:SONG 还是会]这首歌]
给熊媛媛打电话	[IN:DIAL 给[SL:NAME 熊媛媛]打电话]
得了肝癌怎么办？	[IN:QUERY 得了[SL:KEYWORD 肝癌]怎么办？]
我想全部回复	[IN:REPLAY_ALL 我想全部回复]
怎么去泉城广场	[IN:ROUTE 怎么去[SL:ENDLOC_POI 泉城广场]]
搜索结束软件	[IN:QUERY 搜索[SL:NAME 结束]软件]
12月9日北京卫视节目单	[IN:QUERY [SL:DATETIME_DATE 12月9日][SL:TVCHANNEL 北京卫视]节目单]
今天温度是多少	[IN:QUERY [SL:DATETIME_DATE 今天][SL:SUBFOCUS 温度]是多少]
古惑仔	[IN:QUERY [SL:NAME 古惑仔]]
播放一首倒带来听一听	[IN:PLAY 播放一首[SL:SONG 倒带]来听一听]
湖南台演什么节目	[IN:QUERY [SL:TVCHANNEL 湖南台]演什么节目]
来一首夜夜夜	[IN:PLAY 来一首[SL:SONG 夜夜夜]]
茶用英语怎么说呀	[IN:TRANSLATION [SL:CONTENT 茶]用[SL:TARGET 英语]怎么说呀]
我昨天晚上的今日关注	[IN:QUERY 我[SL:DATETIME_DATE 昨天][SL:DATETIME_TIME 晚上]的[SL:NAME 今日关注]]
如何做芝麻糊。	[IN:QUERY 如何做[SL:DISHNAME 芝麻糊]。]
查询沿途的KTV	[IN:POSITION 查询沿途的[SL:LOCATION_POI KTV]]
你给我说几个谜语。	[IN:QUERY 你给我说几个[SL:CATEGORY 谜语]。]
中央电视台电影频道	[IN:PLAY [SL:NAME 中央电视台电影频道]]
我想听足球类新闻	[IN:PLAY 我想听[SL:CATEGORY 足球]类新闻]
打给孩子的爸	[IN:DIAL 打给[SL:NAME 孩子的爸]]
挑逗你真好玩儿英语怎么说	[IN:TRANSLATION [SL:CONTENT 挑逗你真好玩儿][SL:TARGET 英语]怎么说]
葫芦鸡怎么做？	[IN:QUERY [SL:DISHNAME 葫芦鸡]怎么做？]
北京到上海的火车票	[IN:QUERY [SL:STARTLOC_CITY 北京]到[SL:ENDLOC_CITY 上海]的火车票]
帮我查一下2013年2月8日开奖的七星彩中奖号码	[IN:NUMBER_QUERY 帮我查一下[SL:DATETIME_DATE 2013年2月8日]开奖的[SL:NAME 七星彩]中奖号码]
蛋黄焗薯条怎么做	[IN:QUERY [SL:DISHNAME 蛋黄焗薯条]怎么做]
从西安到石嘴山的汽车票。	[IN:QUERY 从[SL:SRC 西安]到[SL:DEST 石嘴山]的汽车票。]
上海到苏州	[IN:ROUTE [SL:STARTLOC_CITY 上海]到[SL:ENDLOC_CITY 苏州]]
满秋	[IN:QUERY [SL:NAME 满秋]]
人死原知万事空下一句是什么？	[IN:QUERY [SL:KEYWORD 人死原知万事空][SL:QUERYFIELD 下一句]是什么？]
鱼香茄子怎么做	[IN:QUERY [SL:DISHNAME 鱼香茄子]怎么做]
啥婆豆腐的制作方法	[IN:QUERY 啥婆[SL:INGREDIENT 豆腐]的制作方法]
给我讲个笑话吧，鱼香肉丝怎么做？	[IN:QUERY 给我讲个笑话吧，[SL:DISHNAME 鱼香肉丝]怎么做？]
播放特种兵之利刃出鞘	[IN:QUERY 播放[SL:NAME 特种兵之利刃出鞘]]
翻译睡觉了	[IN:TRANSLATION 翻译[SL:CONTENT 睡觉了]]
让读一下沁园春雪毛泽东。	[IN:QUERY 让读一下[SL:NAME 沁园春雪][SL:AUTHOR 毛泽东]。]
王菲传奇。	[IN:PLAY [SL:ARTIST 王菲][SL:SONG 传奇]。]
红烧土豆怎么烧？	[IN:QUERY [SL:DISHNAME 红烧土豆]怎么烧？]
上海到北京的飞机航班	[IN:QUERY [SL:STARTLOC_CITY 上海]到[SL:ENDLOC_CITY 北京]的飞机航班]
查询濮耐股份的股票	[IN:QUERY 查询[SL:NAME 濮耐股份]的股票]
我想听情花开这首歌	[IN:PLAY 我想听[SL:SONG 情花开]这首歌]
怎样蒸排骨最好吃的。	[IN:QUERY 怎样[SL:DISHNAME 蒸排骨]最好吃的。]
红烧排骨怎么做的吗？	[IN:QUERY [SL:DISHNAME 红烧排骨]怎么做的吗？]
到公园怎么走	[IN:ROUTE 到[SL:ENDLOC_POI 公园]怎么走]
导航到建八路	[IN:ROUTE 导航到[SL:ENDLOC_POI 建八路]]
爆炒猪肝怎么做？	[IN:QUERY [SL:DISHNAME 爆炒猪肝]怎么做？]
从武汉到杭州的火车	[IN:QUERY 从[SL:STARTLOC_CITY 武汉]到[SL:ENDLOC_CITY 杭州]的火车]
给谢小培发短信今晚一起吃饭	[IN:SEND 给[SL:NAME 谢小培]发短信[SL:CONTENT 今晚一起吃饭]]
菠萝包怎么做？	[IN:QUERY [SL:DISHNAME 菠萝包]怎么做？]
查询众乐电影院最热门的电影	[IN:QUERY 查询[SL:THEATRE 众乐电影院]最热门的电影]
发短信给张全三移动的号码我今天请他吃法	[IN:SEND 发短信给[SL:NAME 张全三][SL:TELEOPERATOR 移动]的号码[SL:CONTENT 我今天请他吃法]]
来一首咏柳。	[IN:QUERY 来一首[SL:NAME 咏柳]。]
我要发信息给高鹤航	[IN:SEND 我要发信息给[SL:NAME 高鹤航]]
陈娴TCL股票是涨还是跌了	[IN:RISERATE_QUERY 陈娴[SL:NAME TCL]股票是涨还是跌了]
给我写一个新邮件	[IN:CREATE 给我写一个新邮件]
查下温州到杭州的火车票	[IN:QUERY 查下[SL:STARTLOC_CITY 温州]到[SL:ENDLOC_CITY 杭州]的火车票]
北京生活频道节目单	[IN:QUERY [SL:TVCHANNEL 北京生活频道]节目单]
帮我看一下到科大讯飞最快的是哪条路线	[IN:ROUTE 帮我看一下到[SL:ENDLOC_POI 科大讯飞]最快的是哪条路线]
查询宜春到南昌的火车列车时刻表	[IN:QUERY 查询[SL:STARTLOC_CITY 宜春]到[SL:ENDLOC_CITY 南昌]的火车列车时刻表]
我想听蔡依林的倒带这首歌	[IN:PLAY 我想听[SL:ARTIST 蔡依林]的[SL:SONG 倒带]这首歌]
魔幻电影	[IN:QUERY [SL:TAG 魔幻][SL:CATEGORY 电影]]
请帮我调频89.7上虞人民广播电台	[IN:LAUNCH 请帮我调频[SL:CODE 89.7][SL:NAME 上虞人民广播电台]]
如何治疗脚气	[IN:QUERY 如何治疗[SL:KEYWORD 脚气]]
AXN	[IN:PLAY [SL:NAME AXN]]
说话的英文怎么写	[IN:TRANSLATION [SL:CONTENT 说话]的[SL:TARGET 英文]怎么写]
很想看安徽卫视来着	[IN:PLAY 很想看[SL:NAME 安徽卫视]来着]
呼叫晚欲强	[IN:DIAL 呼叫[SL:NAME 晚欲强]]
查一下今天早上的新闻。	[IN:PLAY 查一下[SL:DATETIME_DATE 今天][SL:DATETIME_TIME 早上]的新闻。]
坐宫保鸡丁需要哪些材料？	[IN:QUERY 坐[SL:DISHNAME 宫保鸡丁]需要哪些材料？]
怎样炒肉。	[IN:QUERY 怎样[SL:DISHNAME 炒肉]。]
陈真	[IN:QUERY [SL:NAME 陈真]]
今天杭州有什么新闻	[IN:PLAY [SL:DATETIME_DATE 今天][SL:LOCATION_CITY 杭州]有什么新闻]
美国最近有什么新闻	[IN:PLAY [SL:LOCATION_COUNTRY 美国][SL:DATETIME_DATE 最近]有什么新闻]
刘禹锡的秋词。	[IN:QUERY [SL:AUTHOR 刘禹锡]的[SL:NAME 秋词]。]
潜山到福州的火车	[IN:QUERY [SL:STARTLOC_AREA 潜山]到[SL:ENDLOC_CITY 福州]的火车]
给张金波发短消息今天中午一起吃饭	[IN:SEND 给[SL:NAME 张金波]发短消息[SL:CONTENT 今天中午一起吃饭]]
查看婷婷的号码	[IN:QUERY 查看[SL:NAME 婷婷]的号码]
教我怎么做红烧肉	[IN:QUERY 教我怎么做[SL:DISHNAME 红烧肉]]
来is，来一首采莲。	[IN:QUERY 来is，来一首[SL:NAME 采莲]。]
做红烧肉。	[IN:QUERY 做[SL:DISHNAME 红烧肉]。]
搜索东方卫视的电视节目。	[IN:QUERY 搜索[SL:TVCHANNEL 东方卫视]的电视节目。]
干锅排骨虾怎么做？	[IN:QUERY [SL:DISHNAME 干锅排骨][SL:INGREDIENT 虾]怎么做？]
篮球赛事预告。	[IN:QUERY [SL:CATEGORY 篮球]赛事[SL:TYPE 预告]。]
查个字谜。	[IN:QUERY 查个[SL:CATEGORY 字谜]。]
今晚看什么电影？	[IN:QUERY [SL:DATETIME_TIME 今晚]看什么[SL:CATEGORY 电影]？]
打开会说话的汤姆猫	[IN:LAUNCH 打开[SL:NAME 会说话的汤姆猫]]
山东高清	[IN:PLAY [SL:NAME 山东高清]]
烤鸡翅怎么做呀？	[IN:QUERY [SL:DISHNAME 烤鸡翅]怎么做呀？]
红烧肉怎么做？嗯？	[IN:QUERY [SL:DISHNAME 红烧肉]怎么做？嗯？]
查询合肥市植物园的位置	[IN:POSITION 查询[SL:LOCATION_POI 合肥市植物园]的位置]
我是特种兵二	[IN:QUERY [SL:NAME 我是特种兵二]]
查询广州到海南的航班	[IN:QUERY 查询[SL:STARTLOC_CITY 广州]到[SL:ENDLOC_CITY 海南]的航班]
请打开电影	[IN:QUERY 请打开[SL:CATEGORY 电影]]
又热炒鸡蛋怎么做？	[IN:QUERY 又热[SL:DISHNAME 炒鸡蛋]怎么做？]
腾讯股票昨日收盘价	[IN:CLOSEPRICE_QUERY [SL:NAME 腾讯]股票[SL:YESTERDAY 昨日]收盘价]
我要看唐家三少写的玄幻小说绝世唐门	[IN:QUERY 我要看[SL:AUTHOR 唐家三少]写的[SL:CATEGORY 玄幻]小说[SL:NAME 绝世唐门]]
乳腺癌。	[IN:QUERY [SL:KEYWORD 乳腺癌]。]
阑尾炎	[IN:QUERY [SL:KEYWORD 阑尾炎]]
图库	[IN:LAUNCH [SL:NAME 图库]]
可乐鸡翅是怎么做的	[IN:QUERY [SL:DISHNAME 可乐鸡翅]是怎么做的]
最近在播什么电影？	[IN:QUERY 最近在播什么电影？]
从新加坡花园怎么去宁溪路	[IN:ROUTE 从[SL:STARTLOC_POI 新加坡花园]怎么去[SL:ENDLOC_POI 宁溪路]]
阜阳到温州的航班	[IN:QUERY [SL:STARTLOC_CITY 阜阳]到[SL:ENDLOC_CITY 温州]的航班]
鲜肉玉米羹怎么做？	[IN:QUERY [SL:DISHNAME 鲜肉玉米羹]怎么做？]
打开浦发银行	[IN:OPEN 打开[SL:NAME 浦发银行]]
打电话麦亚伦	[IN:DIAL 打电话[SL:NAME 麦亚伦]]
一加一用英语怎么说	[IN:TRANSLATION [SL:CONTENT 一加一]用[SL:TARGET 英语]怎么说]
发短信给张三我明天去北京	[IN:SEND 发短信给[SL:NAME 张三][SL:CONTENT 我明天去北京]]
打电话给王安娜	[IN:DIAL 打电话给[SL:NAME 王安娜]]
中央电视台少儿频道大耳朵图图	[IN:QUERY [SL:TVCHANNEL 中央电视台少儿频道][SL:NAME 大耳朵图图]]
播放老婆最大。	[IN:PLAY 播放[SL:SONG 老婆最大]。]
我想看爱情闯进门	[IN:QUERY 我想看[SL:NAME 爱情闯进门]]
查询今天成都到北京的航班	[IN:QUERY 查询[SL:STARTDATE_DATE 今天][SL:STARTLOC_CITY 成都]到[SL:ENDLOC_CITY 北京]的航班]
贺岁片	[IN:QUERY [SL:TAG 贺岁][SL:CATEGORY 片]]
把哥哥的电话发给殷龙	[IN:SENDCONTACTS 把[SL:NAME 哥哥]的电话发给[SL:RECEIVER 殷龙]]
高清央视综艺	[IN:PLAY [SL:RESOLUTION 高清][SL:NAME 央视综艺]]
宁波到岳阳的汽车。	[IN:QUERY [SL:SRC 宁波]到[SL:DEST 岳阳]的汽车。]
打开uc浏览器登录新浪网主页	[IN:LAUNCH 打开[SL:NAME uc浏览器]登录新浪网主页]
帮我找首诗。	[IN:DEFAULT 帮我找首诗。]
关注一下今天的欧洲杯新闻	[IN:PLAY 关注一下[SL:DATETIME_DATE 今天]的[SL:KEYWORD 欧洲杯]新闻]
发送短信给老婆我在三号楼三零幺刚才那个教室关门了	[IN:SEND 发送短信给[SL:NAME 老婆][SL:CONTENT 我在三号楼三零幺刚才那个教室关门了]]
读句诗来听听。	[IN:DEFAULT 读句诗来听听。]
查询今天上海到成都的航班	[IN:QUERY 查询[SL:STARTDATE_DATE 今天][SL:STARTLOC_CITY 上海]到[SL:ENDLOC_CITY 成都]的航班]
电影频道明天放什么	[IN:QUERY [SL:TVCHANNEL 电影频道][SL:DATETIME_DATE 明天]放什么]
福尔摩探案急翻译成英文	[IN:TRANSLATION [SL:CONTENT 福尔摩探案急]翻译成[SL:TARGET 英文]]
打开应用漫画	[IN:LAUNCH 打开应用[SL:NAME 漫画]]
我想看变形金刚三	[IN:QUERY 我想看[SL:NAME 变形金刚三]]
厦门到福建建阳的火车是几点呢	[IN:QUERY [SL:STARTLOC_CITY 厦门]到[SL:ENDLOC_PROVINCE 福建][SL:ENDLOC_AREA 建阳]的火车是几点呢]
我要去姜堰	[IN:ROUTE 我要去[SL:ENDLOC_AREA 姜堰]]
想唱就唱	[IN:QUERY [SL:NAME 想唱就唱]]
播放眼色	[IN:PLAY 播放[SL:SONG 眼色]]
到环都大酒店怎么走	[IN:ROUTE 到[SL:ENDLOC_POI 环都大酒店]怎么走]
7月25号去上海的航班。	[IN:QUERY [SL:STARTDATE_DATE 7月25号]去[SL:ENDLOC_CITY 上海]的航班。]
罐焖牛肉怎么做？	[IN:QUERY 罐[SL:DISHNAME 焖牛肉]怎么做？]
搜索热门电影。	[IN:QUERY 搜索热门电影。]
CCTV四套	[IN:PLAY [SL:NAME CCTV四套]]
帮我打开电话本	[IN:LAUNCH 帮我打开[SL:NAME 电话本]]
讯飞语点请你搜索一下番茄炒蛋怎么做？	[IN:QUERY 讯飞语点请你搜索一下[SL:DISHNAME 番茄炒蛋]怎么做？]
杭州到上海	[IN:ROUTE [SL:STARTLOC_CITY 杭州]到[SL:ENDLOC_CITY 上海]]
中国新闻网网站	[IN:OPEN [SL:NAME 中国新闻网]网站]
从观音桥到重庆市图书馆怎么走	[IN:ROUTE 从[SL:STARTLOC_POI 观音桥]到[SL:ENDLOC_POI 重庆市图书馆]怎么走]
给我朗诵一下岳飞的满江红。	[IN:QUERY 给我朗诵一下[SL:AUTHOR 岳飞]的[SL:NAME 满江红]。]
导航到望江西路上去	[IN:ROUTE 导航到[SL:ENDLOC_POI 望江西路]上去]
大连飞往上海的航班	[IN:QUERY [SL:STARTLOC_CITY 大连]飞往[SL:ENDLOC_CITY 上海]的航班]
鱼香肉丝，怎么炒？	[IN:QUERY [SL:DISHNAME 鱼香肉丝]，怎么炒？]
发短信给子健晚上回家吃饭	[IN:SEND 发短信给[SL:NAME 子健][SL:CONTENT 晚上回家吃饭]]
上海申花的赛程。	[IN:QUERY [SL:NAME 上海申花]的赛程。]
到步行街不走高架的路线是哪条	[IN:ROUTE 到[SL:ENDLOC_POI 步行街]不走高架的路线是哪条]
我想今天新闻最近有什么新的新闻？	[IN:PLAY 我想[SL:DATETIME_DATE 今天]新闻最近有什么新的新闻？]
我去飞机场英语怎么说	[IN:TRANSLATION [SL:CONTENT 我去飞机场][SL:TARGET 英语]怎么说]
烤鸭，啊！	[IN:QUERY [SL:DISHNAME 烤鸭]，啊！]
带我去新都会	[IN:ROUTE 带我去[SL:ENDLOC_POI 新都会]]
找找三毛的爱情小说	[IN:QUERY 找找[SL:AUTHOR 三毛]的[SL:CATEGORY 爱情]小说]
把侨天慧的号码发给副卡	[IN:SENDCONTACTS 把[SL:NAME 侨天慧]的号码发给[SL:RECEIVER 副卡]]
桔子英文怎么说	[IN:TRANSLATION [SL:CONTENT 桔子][SL:TARGET 英文]怎么说]
看今天的新闻。	[IN:PLAY 看[SL:DATETIME_DATE 今天]的新闻。]
我想要转发这封邮件	[IN:FORWARD 我想要转发这封邮件]
北京西站在哪	[IN:POSITION [SL:LOCATION_POI 北京西站]在哪]
美国大使馆在哪	[IN:POSITION [SL:LOCATION_POI 美国大使馆]在哪]
陕西二套	[IN:PLAY [SL:NAME 陕西二套]]
打开聚划算网站	[IN:OPEN 打开[SL:NAME 聚划算]网站]
玄幻小说 幻神	[IN:QUERY [SL:CATEGORY 玄幻]小说 [SL:NAME 幻神]]
打开uc浏览器	[IN:LAUNCH 打开[SL:NAME uc浏览器]]
我要看功夫熊猫帮我播放出来	[IN:QUERY 我要看[SL:NAME 功夫熊猫]帮我播放出来]
打开河南英东网站	[IN:OPEN 打开[SL:NAME 河南英东]网站]
来点张艺谋出演的节目	[IN:QUERY 来点[SL:ARTIST 张艺谋][SL:ARTISTROLE 出演]的[SL:CATEGORY 节目]]
点播爱情买卖	[IN:PLAY 点播[SL:SONG 爱情买卖]]
我要看图文小说	[IN:QUERY 我要看[SL:CATEGORY 图文]小说]
小老虎用英语怎么讲	[IN:TRANSLATION [SL:CONTENT 小老虎]用[SL:TARGET 英语]怎么讲]
来个谜语吧！	[IN:QUERY 来个[SL:CATEGORY 谜语]吧！]
去红心中路怎么走	[IN:ROUTE 去[SL:ENDLOC_POI 红心中路]怎么走]
随便给我放几首歌	[IN:PLAY 随便给我放几首歌]
给我查下明天凌晨在放妈妈来了	[IN:QUERY 给我查下[SL:DATETIME_DATE 明天][SL:DATETIME_TIME 凌晨]在放[SL:NAME 妈妈来了]]
白切鸡怎么做啊？	[IN:QUERY [SL:DISHNAME 白切鸡]怎么做啊？]
人心无穷烧肉的做法。	[IN:QUERY 人心无穷[SL:DISHNAME 烧肉]的做法。]
搜一下小说。	[IN:QUERY 搜一下小说。]
给我来一首，相见恨晚的音乐。	[IN:PLAY 给我来一首，[SL:SONG 相见恨晚]的音乐。]
猪肉灌汤包怎么做？	[IN:QUERY [SL:DISHNAME 猪肉灌汤包]怎么做？]
扁豆豆角怎么烧？	[IN:QUERY 扁豆[SL:INGREDIENT 豆角]怎么烧？]
给我定一张株洲到深圳的机票	[IN:QUERY 给我定一张[SL:STARTLOC_CITY 株洲]到[SL:ENDLOC_CITY 深圳]的机票]
